product_id,category,brand,price,margin_rate
1000,Grocery,BlueSky,4.2,0.19
1001,Grocery,UrbanX,10.17,0.2
1002,Grocery,Everest,3.41,0.27
1003,Grocery,UrbanX,12.7,0.14
1004,Grocery,UrbanX,13.73,0.15
1005,Grocery,BlueSky,7.89,0.14
1006,Grocery,BlueSky,5.63,0.24
1007,Grocery,Everest,10.76,0.17
1008,Grocery,UrbanX,3.74,0.23
1009,Grocery,Everest,7.74,0.2
1010,Grocery,Prime,8.2,0.23
1011,Grocery,Prime,9.44,0.27
1012,Grocery,UrbanX,12.3,0.16
1013,Grocery,Everest,9.41,0.18
1014,Grocery,BlueSky,3.73,0.13
1015,Grocery,GoodLife,6.82,0.26
1016,Grocery,Everest,11.4,0.22
1017,Grocery,UrbanX,6.05,0.19
1018,Grocery,Prime,8.88,0.12
1019,Grocery,Acme,10.13,0.23
1020,Dairy,BlueSky,8.16,0.15
1021,Dairy,Nova,5.07,0.19
1022,Dairy,Prime,7.24,0.18
1023,Dairy,Acme,8.0,0.19
1024,Dairy,Everest,7.96,0.17
1025,Dairy,UrbanX,4.55,0.11
1026,Dairy,GoodLife,2.55,0.15
1027,Dairy,GoodLife,6.86,0.15
1028,Dairy,Acme,4.07,0.2
1029,Dairy,Everest,8.35,0.21
1030,Dairy,BlueSky,6.94,0.12
1031,Dairy,BlueSky,6.83,0.15
1032,Dairy,GoodLife,4.41,0.18
1033,Dairy,GoodLife,5.6,0.13
1034,Dairy,Everest,7.22,0.15
1035,Dairy,GoodLife,2.6,0.11
1036,Dairy,Prime,4.81,0.22
1037,Dairy,Everest,5.8,0.18
1038,Dairy,Acme,7.09,0.16
1039,Dairy,UrbanX,7.96,0.13
1040,Baby,Everest,23.42,0.29
1041,Baby,Acme,19.62,0.28
1042,Baby,Acme,18.76,0.34
1043,Baby,Acme,35.08,0.18
1044,Baby,Prime,20.26,0.33
1045,Baby,Prime,17.21,0.2
1046,Baby,Everest,20.66,0.27
1047,Baby,Acme,31.65,0.2
1048,Baby,UrbanX,25.62,0.25
1049,Baby,BlueSky,8.89,0.34
1050,Baby,Nova,37.23,0.22
1051,Baby,BlueSky,7.96,0.3
1052,Baby,Everest,19.85,0.2
1053,Baby,UrbanX,21.15,0.32
1054,Baby,Prime,29.71,0.16
1055,Baby,Everest,35.62,0.24
1056,Baby,Prime,22.13,0.22
1057,Baby,GoodLife,8.34,0.21
1058,Beverages,Nova,9.53,0.15
1059,Beverages,BlueSky,3.66,0.22
1060,Beverages,Acme,3.36,0.21
1061,Beverages,GoodLife,11.39,0.13
1062,Beverages,Acme,4.38,0.14
1063,Beverages,BlueSky,8.06,0.14
1064,Beverages,GoodLife,7.38,0.21
1065,Beverages,Nova,9.29,0.14
1066,Beverages,BlueSky,2.38,0.11
1067,Beverages,Everest,7.75,0.19
1068,Beverages,UrbanX,7.79,0.24
1069,Beverages,Acme,7.78,0.15
1070,Beverages,GoodLife,3.09,0.22
1071,Beverages,Nova,4.64,0.24
1072,Beverages,Nova,6.08,0.19
1073,Beverages,UrbanX,6.36,0.13
1074,Beverages,Prime,4.23,0.17
1075,Beverages,Everest,3.68,0.2
1076,Beverages,Nova,5.33,0.16
1077,Beverages,Acme,5.75,0.1
1078,Beverages,Acme,5.37,0.23
1079,Beverages,Everest,11.46,0.17
1080,Snacks,UrbanX,4.85,0.27
1081,Snacks,Acme,3.61,0.2
1082,Snacks,BlueSky,2.69,0.21
1083,Snacks,Acme,2.48,0.21
1084,Snacks,UrbanX,4.82,0.15
1085,Snacks,Nova,4.37,0.31
1086,Snacks,BlueSky,3.05,0.32
1087,Snacks,Acme,1.71,0.25
1088,Snacks,Acme,4.2,0.22
1089,Snacks,UrbanX,3.67,0.17
1090,Snacks,GoodLife,4.51,0.25
1091,Snacks,Acme,2.59,0.33
1092,Snacks,Prime,4.83,0.19
1093,Snacks,Prime,4.42,0.31
1094,Snacks,Acme,2.17,0.16
1095,Snacks,BlueSky,2.82,0.32
1096,Snacks,BlueSky,1.06,0.28
1097,Snacks,GoodLife,3.5,0.17
1098,Snacks,BlueSky,1.29,0.21
1099,Snacks,BlueSky,2.29,0.17
1100,Snacks,Acme,2.95,0.16
1101,Snacks,Everest,4.47,0.24
1102,Household,GoodLife,14.69,0.13
1103,Household,Prime,12.42,0.29
1104,Household,UrbanX,4.33,0.26
1105,Household,GoodLife,16.25,0.24
1106,Household,Nova,15.87,0.23
1107,Household,Nova,4.7,0.28
1108,Household,Acme,23.69,0.23
1109,Household,Nova,21.5,0.19
1110,Household,Nova,21.18,0.18
1111,Household,Acme,7.61,0.2
1112,Household,BlueSky,6.99,0.28
1113,Household,UrbanX,14.35,0.2
1114,Household,Acme,19.68,0.25
1115,Household,Prime,17.57,0.21
1116,Household,Prime,18.94,0.13
1117,Household,GoodLife,18.4,0.2
1118,Household,Acme,8.24,0.14
1119,Household,Acme,24.98,0.17
1120,Household,Acme,30.49,0.25
1121,Household,BlueSky,23.34,0.27
1122,Household,UrbanX,17.29,0.23
1123,Household,BlueSky,7.66,0.24
1124,Household,Prime,6.17,0.17
1125,Household,GoodLife,13.84,0.17
1126,PersonalCare,Everest,11.87,0.35
1127,PersonalCare,Prime,11.33,0.31
1128,PersonalCare,BlueSky,7.14,0.21
1129,PersonalCare,Everest,15.82,0.21
1130,PersonalCare,Prime,19.2,0.4
1131,PersonalCare,GoodLife,10.25,0.39
1132,PersonalCare,UrbanX,17.01,0.33
1133,PersonalCare,Prime,3.77,0.38
1134,PersonalCare,BlueSky,11.78,0.25
1135,PersonalCare,GoodLife,6.67,0.27
1136,PersonalCare,BlueSky,16.51,0.37
1137,PersonalCare,Acme,5.62,0.28
1138,PersonalCare,BlueSky,16.84,0.21
1139,PersonalCare,BlueSky,22.12,0.23
1140,PersonalCare,Prime,12.93,0.27
1141,PersonalCare,Acme,15.01,0.2
1142,PersonalCare,Nova,6.8,0.29
1143,PersonalCare,UrbanX,19.87,0.36
1144,PersonalCare,UrbanX,9.05,0.24
1145,PersonalCare,Everest,3.58,0.32
1146,PersonalCare,Nova,17.21,0.34
1147,PersonalCare,Acme,18.58,0.39
1148,PersonalCare,Prime,13.85,0.3
1149,PersonalCare,Prime,2.78,0.29
1150,Beauty,BlueSky,17.34,0.36
1151,Beauty,UrbanX,30.45,0.37
1152,Beauty,Everest,29.44,0.52
1153,Beauty,GoodLife,30.72,0.46
1154,Beauty,Everest,44.01,0.45
1155,Beauty,Acme,37.45,0.52
1156,Beauty,Acme,13.43,0.33
1157,Beauty,Prime,17.72,0.39
1158,Beauty,Prime,36.91,0.36
1159,Beauty,BlueSky,32.53,0.36
1160,Beauty,Nova,29.33,0.51
1161,Beauty,Acme,17.88,0.38
1162,Beauty,UrbanX,9.24,0.38
1163,Beauty,Everest,30.99,0.32
1164,Beauty,Nova,40.64,0.31
1165,Beauty,UrbanX,8.09,0.49
1166,Beauty,Nova,7.48,0.29
1167,Beauty,BlueSky,24.6,0.29
1168,Beauty,Acme,30.59,0.26
1169,Beauty,Acme,8.32,0.49
1170,Electronics,Acme,63.81,0.17
1171,Electronics,Prime,176.33,0.18
1172,Electronics,Everest,116.03,0.18
1173,Electronics,GoodLife,161.61,0.19
1174,Electronics,Prime,54.42,0.17
1175,Electronics,Acme,232.65,0.12
1176,Electronics,Everest,189.72,0.22
1177,Electronics,Nova,148.48,0.12
1178,Electronics,Nova,101.01,0.15
1179,Electronics,Everest,71.67,0.3
1180,Electronics,BlueSky,111.05,0.14
1181,Electronics,Prime,54.3,0.27
1182,Electronics,Everest,173.83,0.17
1183,Electronics,BlueSky,139.59,0.12
1184,Electronics,UrbanX,37.91,0.11
1185,Electronics,Everest,110.31,0.23
1186,Electronics,Prime,114.05,0.3
1187,Electronics,UrbanX,133.41,0.19
1188,Electronics,BlueSky,116.48,0.25
1189,Electronics,Prime,49.55,0.16
1190,Home,GoodLife,77.55,0.21
1191,Home,Prime,75.76,0.24
1192,Home,Nova,128.81,0.22
1193,Home,Prime,46.34,0.25
1194,Home,UrbanX,120.82,0.38
1195,Home,Everest,43.69,0.36
1196,Home,Prime,33.17,0.32
1197,Home,GoodLife,52.17,0.33
1198,Home,Prime,61.86,0.13
1199,Home,Prime,68.41,0.35
1200,Home,GoodLife,24.78,0.37
1201,Home,GoodLife,69.46,0.28
1202,Home,Everest,136.33,0.14
1203,Home,Prime,39.61,0.39
1204,Home,GoodLife,109.78,0.4
1205,Home,BlueSky,121.34,0.38
1206,Home,BlueSky,94.58,0.39
1207,Home,Everest,61.04,0.31
1208,Home,Acme,16.48,0.23
1209,Home,BlueSky,89.63,0.21
1210,Home,Acme,50.95,0.37
1211,Home,Acme,77.78,0.24
1212,Home,Acme,67.12,0.17
1213,Home,Acme,123.17,0.2
1214,Pet,Everest,18.14,0.11
1215,Pet,Nova,26.83,0.22
1216,Pet,Prime,6.55,0.14
1217,Pet,GoodLife,6.89,0.28
1218,Pet,GoodLife,31.17,0.29
1219,Pet,BlueSky,4.96,0.11
1220,Pet,Nova,2.45,0.18
1221,Pet,BlueSky,22.25,0.16
1222,Pet,UrbanX,10.87,0.1
1223,Pet,Everest,29.01,0.11
1224,Pet,BlueSky,7.53,0.27
1225,Pet,Nova,3.28,0.22
1226,Pet,Everest,8.15,0.26
1227,Pet,Prime,16.58,0.16
1228,Pet,GoodLife,5.26,0.27
1229,Pet,Acme,5.05,0.13
1230,Produce,Prime,4.24,0.13
1231,Produce,Prime,4.51,0.15
1232,Produce,BlueSky,3.9,0.11
1233,Produce,Everest,6.44,0.15
1234,Produce,GoodLife,2.18,0.15
1235,Produce,UrbanX,2.3,0.12
1236,Produce,Everest,3.2,0.17
1237,Produce,Everest,5.84,0.09
1238,Produce,Acme,3.94,0.16
1239,Produce,Nova,2.18,0.14
1240,Produce,Prime,4.08,0.17
1241,Produce,Prime,1.95,0.17
1242,Produce,GoodLife,4.54,0.11
1243,Produce,Acme,3.73,0.15
1244,Produce,Acme,3.47,0.18
1245,Produce,Nova,7.21,0.17
1246,Produce,BlueSky,3.43,0.15
1247,Produce,BlueSky,6.65,0.16
1248,Produce,Prime,5.66,0.15
1249,Produce,Acme,1.45,0.16
1250,Produce,Acme,1.51,0.14
1251,Produce,Prime,3.02,0.1
1252,Produce,Nova,4.85,0.14
1253,Produce,Nova,7.05,0.11
1254,Bakery,Everest,7.98,0.22
1255,Bakery,Everest,1.81,0.27
1256,Bakery,Prime,8.08,0.16
1257,Bakery,Acme,8.5,0.27
1258,Bakery,Nova,1.42,0.17
1259,Bakery,Prime,1.13,0.27
1260,Bakery,BlueSky,4.15,0.23
1261,Bakery,Nova,8.58,0.16
1262,Bakery,GoodLife,7.81,0.19
1263,Bakery,GoodLife,5.75,0.15
1264,Bakery,GoodLife,4.72,0.23
1265,Bakery,Everest,6.98,0.24
1266,Bakery,Everest,1.81,0.24
1267,Bakery,Prime,2.85,0.19
1268,Bakery,Everest,1.47,0.18
1269,Bakery,Acme,6.62,0.27
1270,Bakery,Acme,5.06,0.12
1271,Bakery,BlueSky,2.13,0.15
1272,Bakery,Nova,4.53,0.25
1273,Bakery,GoodLife,2.99,0.19
1274,Bakery,Nova,6.52,0.27
1275,Bakery,Acme,4.8,0.19
